loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag,target
8000.0,0.11710000000000001,176.79,RENT,35000.0,Not Verified,n,33.78,0.0,1.0,6.0,0.0,6565.0,8.0,w,0.0,0.0,8761.29,8761.29,8000.0,761.29,0.0,0.0,0.0,4906.4,0.0,1.0,Individual,0.0,720.0,27495.0,1.0,2.0,1.0,1.0,12.0,20930.0,47.0,1.0,1.0,6116.0,46.0,14800.0,1.0,0.0,4.0,2.0,4583.0,5435.0,54.7,0.0,0.0,95.0,86.0,2.0,2.0,0.0,60.0,2.0,0.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,2.0,6.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,59365.0,27495.0,12000.0,44565.0,N,N,low_risk
10000.0,0.1524,347.83,RENT,63000.0,Source Verified,n,28.27,0.0,0.0,5.0,0.0,23966.0,9.0,w,5287.81,5287.81,6591.84,6591.84,4712.19,1879.65,0.0,0.0,0.0,347.83,0.0,1.0,Individual,0.0,0.0,38868.0,0.0,2.0,0.0,1.0,22.0,14902.0,40.0,0.0,0.0,19978.0,63.0,24500.0,1.0,3.0,0.0,1.0,7774.0,534.0,97.8,0.0,0.0,119.0,121.0,91.0,22.0,0.0,91.0,23.0,0.0,3.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,88.9,100.0,0.0,0.0,62218.0,38868.0,24500.0,37718.0,N,N,low_risk
11900.0,0.11019999999999999,389.71,MORTGAGE,85000.0,Not Verified,n,38.5,0.0,0.0,15.0,0.0,24925.0,28.0,w,6107.71,6107.71,7389.92,7389.92,5792.29,1597.63,0.0,0.0,0.0,389.71,0.0,1.0,Individual,0.0,0.0,185349.0,0.0,5.0,1.0,1.0,8.0,72281.0,70.0,1.0,3.0,5757.0,70.0,35000.0,0.0,1.0,5.0,5.0,13239.0,2747.0,90.0,0.0,0.0,175.0,209.0,9.0,8.0,1.0,9.0,8.0,0.0,5.0,6.0,6.0,10.0,10.0,9.0,17.0,6.0,15.0,0.0,0.0,0.0,2.0,100.0,83.3,0.0,0.0,228511.0,97206.0,27500.0,103301.0,N,N,low_risk
20000.0,0.11019999999999999,654.97,MORTGAGE,250000.0,Source Verified,n,9.5,0.0,2.0,16.0,0.0,22901.0,32.0,w,10820.76,10820.76,11764.97,11764.97,9179.24,2585.73,0.0,0.0,0.0,654.97,0.0,1.0,Individual,0.0,0.0,221240.0,3.0,2.0,2.0,2.0,3.0,51528.0,97.0,1.0,2.0,9365.0,35.0,70700.0,0.0,1.0,2.0,4.0,13828.0,36729.0,35.8,0.0,0.0,102.0,277.0,6.0,3.0,2.0,6.0,3.0,0.0,6.0,7.0,9.0,16.0,6.0,13.0,24.0,7.0,16.0,0.0,0.0,0.0,3.0,90.6,33.3,0.0,0.0,298221.0,74429.0,57200.0,52521.0,N,N,low_risk
10000.0,0.16949999999999998,248.26,RENT,42000.0,Source Verified,n,21.54,0.0,1.0,8.0,0.0,2404.0,15.0,w,8014.66,8014.66,4201.59,4201.59,1985.34,2216.25,0.0,0.0,0.0,248.26,1.0,1.0,Individual,0.0,290.0,28202.0,0.0,3.0,0.0,1.0,15.0,25798.0,88.0,1.0,2.0,2184.0,71.0,10100.0,1.0,2.0,4.0,3.0,3525.0,5116.0,29.9,0.0,0.0,136.0,60.0,12.0,12.0,0.0,55.0,0.0,2.0,1.0,3.0,2.0,3.0,9.0,5.0,6.0,3.0,8.0,0.0,0.0,0.0,1.0,85.7,0.0,0.0,0.0,39525.0,28202.0,7300.0,29425.0,N,N,low_risk
15000.0,0.124,336.71,RENT,145000.0,Source Verified,n,17.06,0.0,0.0,12.0,0.0,15969.0,27.0,w,11641.88,11641.88,5703.4,5703.4,3358.12,2345.28,0.0,0.0,0.0,336.71,0.0,1.0,Individual,0.0,0.0,63938.0,0.0,3.0,1.0,1.0,12.0,47969.0,69.0,0.0,1.0,10025.0,37.0,76400.0,1.0,0.0,1.0,2.0,5328.0,37491.0,27.5,0.0,0.0,54.0,208.0,23.0,12.0,3.0,23.0,12.0,0.0,3.0,5.0,4.0,8.0,4.0,9.0,20.0,5.0,12.0,0.0,0.0,0.0,1.0,96.3,0.0,0.0,0.0,151784.0,63938.0,51700.0,75384.0,N,N,low_risk
10000.0,0.0819,314.25,RENT,62000.0,Not Verified,n,9.31,0.0,2.0,13.0,0.0,21213.0,22.0,w,0.0,0.0,10249.65,10249.65,10000.0,249.65,0.0,0.0,0.0,5869.0,0.0,1.0,Individual,0.0,0.0,48951.0,5.0,7.0,5.0,5.0,3.0,27738.0,81.0,2.0,3.0,9012.0,51.0,62300.0,1.0,0.0,4.0,8.0,3765.0,41087.0,34.0,0.0,0.0,113.0,97.0,5.0,3.0,0.0,5.0,3.0,0.0,4.0,4.0,6.0,7.0,13.0,6.0,9.0,4.0,13.0,0.0,0.0,0.0,7.0,100.0,33.3,0.0,0.0,96722.0,48951.0,62300.0,34422.0,N,N,low_risk
26575.0,0.0819,835.1,OWN,120000.0,Not Verified,n,21.58,0.0,1.0,12.0,0.0,1756.0,35.0,w,14099.81,14099.81,15007.62,15007.62,12475.19,2532.43,0.0,0.0,0.0,835.1,0.0,1.0,Individual,0.0,0.0,201109.0,4.0,2.0,2.0,2.0,4.0,35172.0,86.0,4.0,4.0,1204.0,50.0,28800.0,4.0,7.0,5.0,7.0,16759.0,25544.0,6.4,0.0,0.0,187.0,244.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,7.0,14.0,12.0,8.0,20.0,4.0,12.0,0.0,0.0,0.0,6.0,88.6,0.0,0.0,0.0,274145.0,39819.0,27300.0,41151.0,N,N,low_risk
12625.0,0.11019999999999999,274.63,MORTGAGE,46000.0,Not Verified,n,25.44,0.0,1.0,12.0,0.0,4152.0,28.0,w,9534.3,9534.3,4935.61,4935.61,3090.7,1844.91,0.0,0.0,0.0,274.63,0.0,1.0,Individual,0.0,0.0,81438.0,0.0,2.0,1.0,2.0,10.0,23205.0,69.0,0.0,0.0,1820.0,41.0,33100.0,0.0,4.0,2.0,2.0,6787.0,19848.0,15.2,0.0,0.0,126.0,154.0,35.0,10.0,3.0,39.0,2.0,0.0,3.0,4.0,4.0,6.0,13.0,9.0,12.0,4.0,12.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,125100.0,27357.0,23400.0,33500.0,N,N,low_risk
25000.0,0.1612,880.41,RENT,120000.0,Source Verified,n,21.62,0.0,0.0,21.0,0.0,40738.0,35.0,w,13993.96,13993.96,15824.99,15824.99,11006.04,4818.95,0.0,0.0,0.0,880.41,0.0,1.0,Individual,0.0,0.0,105585.0,0.0,10.0,0.0,4.0,20.0,64847.0,94.0,0.0,0.0,9479.0,85.0,52200.0,0.0,0.0,0.0,4.0,5279.0,679.0,97.1,0.0,0.0,120.0,161.0,45.0,20.0,0.0,45.0,20.0,0.0,5.0,9.0,5.0,7.0,18.0,11.0,17.0,9.0,21.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,125800.0,105585.0,23800.0,73600.0,N,N,low_risk
